game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030221,3,away,LOSS,OT,John Tortorella,2,8,44,8,3,0,44.8,17,7
2012030221,6,home,WIN,OT,Claude Julien,3,12,51,6,4,1,55.2,4,5
2012030222,3,away,LOSS,REG,John Tortorella,2,9,33,11,5,0,51.7,1,4
2012030222,6,home,WIN,REG,Claude Julien,3,8,36,19,1,0,48.3,16,6
2012030223,6,away,WIN,REG,Claude Julien,2,8,28,6,0,0,61.8,10,7
2012030223,3,home,LOSS,REG,John Tortorella,1,6,37,2,2,0,38.2,7,9
2012030224,6,away,WIN,OT,Claude Julien,3,10,24,8,4,2,53.7,8,6
2012030224,3,home,LOSS,OT,John Tortorella,2,8,40,8,4,1,46.3,9,7
2012030225,3,away,LOSS,REG,John Tortorella,1,7,25,13,2,1,50.9,5,3
2012030225,6,home,WIN,REG,Claude Julien,3,8,35,11,3,1,49.1,12,9
2012030311,6,away,WIN,REG,Claude Julien,3,7,19,17,4,0,66.7,1,5
2012030311,5,home,LOSS,REG,Dan Bylsma,0,7,34,28,4,0,33.3,8,9
2012030312,6,away,WIN,REG,Claude Julien,4,7,19,6,1,0,50.9,2,5
2012030312,5,home,LOSS,REG,Dan Bylsma,1,6,37,4,2,0,49.1,12,5
2012030313,5,away,LOSS,OT,Dan Bylsma,1,13,46,16,6,0,57.3,8,10
2012030313,6,home,WIN,OT,Claude Julien,2,10,34,18,5,0,42.7,10,13
2012030314,5,away,LOSS,REG,Dan Bylsma,0,6,33,8,3,0,47.5,8,1
2012030314,6,home,WIN,REG,Claude Julien,1,6,25,8,3,0,52.5,11,5
2012030231,17,away,LOSS,REG,Mike Babcock,1,5,43,10,3,0,52.5,6,4
2012030231,16,home,WIN,REG,Joel Quenneville,2,10,24,10,3,1,47.5,2,11
2014030411,16,away,WIN,REG,Joel Quenneville,2,5,21,4,3,0,47.4,11,5
2014030411,14,home,LOSS,REG,Jon Cooper,1,5,29,6,2,0,52.6,12,5
2014030412,16,away,WIN,REG,Joel Quenneville,3,7,28,6,3,1,64.8,8,4
2014030412,14,home,LOSS,REG,Jon Cooper,2,6,33,6,3,1,35.2,11,6
2014030413,14,away,WIN,REG,Jon Cooper,3,8,46,6,2,0,41.8,10,7
2014030413,16,home,LOSS,REG,Joel Quenneville,2,9,27,6,2,1,58.2,14,9
2014030414,14,away,LOSS,REG,Jon Cooper,1,6,46,6,4,0,34.5,5,7
2014030414,16,home,WIN,REG,Joel Quenneville,2,4,34,8,3,0,65.5,16,7
2014030415,16,away,WIN,REG,Joel Quenneville,2,7,15,2,2,0,58.1,9,11
2014030415,14,home,LOSS,REG,Jon Cooper,1,8,37,4,1,0,41.9,13,9
2014030416,14,away,LOSS,REG,Jon Cooper,0,6,56,6,1,0,32.3,10,5
2014030416,16,home,WIN,REG,Joel Quenneville,2,8,32,2,3,0,67.7,10,7
2014030131,5,away,LOSS,REG,Mike Johnston,1,6,32,10,1,0,57.6,7,7
2014030131,3,home,WIN,REG,Alain Vigneault,2,9,32,2,5,1,42.4,11,8
2014030132,5,away,LOSS,REG,Mike Johnston,2,5,21,14,4,2,50,4,6
2014030132,3,home,WIN,REG,Alain Vigneault,3,6,25,8,7,1,50,13,9
2014030133,3,away,WIN,REG,Alain Vigneault,2,6,37,8,2,0,45.9,3,3
2014030133,5,home,LOSS,REG,Mike Johnston,1,6,43,10,2,0,54.1,8,3
2014030134,3,away,WIN,OT,Alain Vigneault,2,6,42,6,3,0,42.9,1,4
2014030134,5,home,LOSS,OT,Mike Johnston,1,5,28,6,3,0,57.1,6,2
2017030241,28,away,LOSS,REG,Peter DeBoer,0,8,33,31,5,0,47.8,8,6
2017030241,54,home,WIN,REG,Gerard Gallant,5,8,48,10,10,3,52.2,10,15
2017030242,28,away,LOSS,OT,Peter DeBoer,2,11,48,12,7,2,55.1,7,12
2017030242,54,home,WIN,OT,Gerard Gallant,3,7,52,22,2,0,44.9,15,26
2017030243,54,away,LOSS,OT,Gerard Gallant,2,8,35,8,6,2,42.3,6,4
2017030243,28,home,WIN,OT,Peter DeBoer,3,10,44,12,4,1,57.7,13,14
2017030244,54,away,LOSS,REG,Gerard Gallant,0,8,37,22,5,0,44.3,5,5
2017030244,28,home,WIN,REG,Peter DeBoer,2,8,31,22,5,1,55.7,4,7
2017030245,28,away,TIE,REG,Peter DeBoer,3,7,35,20,4,1,49.3,7,4
2017030245,54,home,TIE,REG,Gerard Gallant,3,9,53,18,4,1,50.7,15,18
2017030246,54,away,WIN,REG,Gerard Gallant,3,8,38,4,1,0,43.8,1,2
2017030246,28,home,LOSS,REG,Peter DeBoer,0,7,25,2,2,0,56.2,13,7
2017030181,28,away,WIN,REG,Peter DeBoer,3,8,22,8,6,1,52.6,13,5
2017030181,24,home,LOSS,REG,Randy Carlyle,0,6,41,14,3,0,47.4,10,4
2017030182,28,away,WIN,REG,Peter DeBoer,3,8,20,6,3,1,50.8,7,2
2017030182,24,home,LOSS,REG,Randy Carlyle,2,7,24,8,2,1,49.2,13,3
2017030183,24,away,LOSS,REG,Randy Carlyle,1,11,44,28,3,1,50,6,4
2017030183,28,home,WIN,REG,Peter DeBoer,6,9,24,8,8,4,50,12,10
2017030184,24,away,LOSS,REG,Randy Carlyle,1,7,27,6,4,0,52.2,8,6
2017030184,28,home,WIN,REG,Peter DeBoer,2,6,28,8,3,0,47.8,9,12
